Time_ms id positions_x positions_z rotation_y is_signaling score
12160 1 -12 -52 336 0 0
12259 0 6 -5 190 0 0
12259 1 -12 -52 336 0 0
12360 0 6 -5 188 0 0
12360 1 -12 -51 336 0 0
12460 0 6 -5 247 0 0
12460 1 -13 -51 336 0 0
12559 0 5 -5 247 0 0
12559 1 -13 -50 336 0 0
12660 0 5 -5 332 0 0
12660 1 -13 -49 341 0 0
12759 0 5 -5 332 0 0
12759 1 -13 -49 345 0 0
12860 0 5 -5 332 0 0
12860 1 -13 -48 346 0 0
12960 0 5 -4 332 0 0
12960 1 -14 -47 346 0 0
13059 0 5 -4 332 0 0
13059 1 -14 -47 346 0 0
13160 0 4 -4 332 0 0
13160 1 -14 -46 346 0 0
13259 0 4 -3 332 0 0
13259 1 -14 -45 346 0 0
13360 0 4 -3 332 0 0
13360 1 -14 -45 346 0 0
13460 0 4 -3 332 0 0
13460 1 -14 -44 346 0 0
13559 0 4 -2 332 0 0
13559 1 -15 -43 346 0 0
13660 0 4 -2 332 0 0
13660 1 -15 -42 346 0 0
13759 0 3 -2 332 0 0
13759 1 -15 -42 346 0 0
13860 0 3 -1 332 0 0
13860 1 -15 -41 346 0 0
13960 0 3 -1 332 0 0
13960 1 -15 -40 346 0 0
14059 0 3 -1 47 0 0
14059 1 -16 -40 346 0 0
14160 0 3 -1 47 0 0
14160 1 -16 -39 346 0 0
14259 0 4 0 47 0 0
14259 1 -16 -38 346 0 0
14360 0 4 0 47 0 0
14360 1 -16 -38 346 0 0
14460 0 4 0 47 0 0
14460 1 -16 -37 346 0 0
14559 0 4 0 47 0 0
14559 1 -16 -36 346 0 0
14660 0 5 0 47 0 0
14660 1 -17 -36 346 0 0
14759 0 5 0 47 0 0
14759 1 -17 -35 346 0 0
14860 0 5 0 47 0 0
14860 1 -17 -34 346 0 0
14960 0 5 0 47 0 0
14960 1 -17 -34 344 0 0
15059 0 6 1 47 0 0
15059 1 -17 -33 337 0 0
15160 0 6 1 47 0 0
15160 1 -18 -32 333 0 0
15259 0 6 1 47 0 0
15259 1 -18 -32 333 0 0
15360 0 7 1 47 0 0
15360 1 -18 -31 333 0 0
15460 0 7 1 47 0 0
15460 1 -18 -30 333 0 0
15559 0 7 2 47 0 0
15559 1 -19 -30 333 0 0
15660 0 7 2 47 0 0
15660 1 -19 -29 333 0 0
15759 0 8 2 47 0 0
15759 1 -19 -29 333 0 0
15860 0 8 2 47 0 0
15860 1 -20 -28 333 0 0
15960 0 8 3 47 0 0
15960 1 -20 -27 333 0 0
16059 0 8 3 47 0 0
16059 1 -20 -27 333 0 0
16160 0 9 3 47 0 0
16160 1 -21 -26 333 0 0
16260 0 9 3 47 0 0
16260 1 -21 -25 333 0 0
16359 0 9 4 66 0 0
16359 1 -21 -25 330 0 0
16460 0 9 4 66 0 0
16460 1 -22 -24 324 0 0
16560 0 10 4 66 0 0
16560 1 -22 -24 323 0 0
16660 0 10 4 66 0 0
16660 1 -22 -23 323 0 0
16760 0 10 4 66 0 0
16760 1 -23 -23 323 0 0
16859 0 11 4 66 0 0
16859 1 -23 -22 323 0 0
16960 0 11 4 66 0 0
16960 1 -24 -21 323 0 0
17060 0 11 5 66 0 0
17060 1 -24 -21 323 0 0
17160 0 12 5 66 0 0
17160 1 -25 -20 323 0 0
17260 0 12 5 66 0 0
17260 1 -25 -20 323 0 0
17359 0 12 5 66 0 0
17359 1 -25 -19 323 0 0
17460 0 13 5 66 0 0
17460 1 -26 -19 323 0 0
17560 0 13 5 66 0 0
17560 1 -26 -18 323 0 0
17660 0 13 5 66 0 0
17660 1 -27 -17 326 0 0
17760 0 14 5 66 0 0
17760 1 -27 -17 332 0 0
17859 0 14 6 66 0 0
17859 1 -27 -16 333 0 0
17960 0 14 6 66 0 0
17960 1 -28 -16 333 0 0
18060 0 14 6 277 0 0
18060 1 -28 -15 333 0 0
18160 0 14 6 277 0 0
18160 1 -28 -14 333 0 0
18260 0 13 6 277 0 0
18260 1 -29 -14 333 0 0
18359 0 13 6 277 0 0
18359 1 -29 -13 333 0 0
18460 0 13 6 277 0 0
18460 1 -29 -12 333 0 0
18560 0 12 6 277 0 0
18560 1 -29 -12 336 0 0
18660 0 12 6 277 0 0
18660 1 -30 -11 341 0 0
18760 0 12 6 227 0 0
18760 1 -30 -11 343 0 0
18859 0 11 6 227 0 0
18859 1 -30 -10 343 0 0
18960 0 11 6 227 0 0
18960 1 -30 -9 343 0 0
19060 0 11 6 327 0 0
19060 1 -31 -9 343 0 0
19160 0 11 6 327 0 0
19160 1 -31 -8 343 0 0
19260 0 11 6 327 0 0
19260 1 -31 -7 346 0 0
19359 0 10 6 327 0 0
19359 1 -31 -6 353 0 0
19460 0 10 7 327 0 0
19460 1 -31 -6 5 0 0
19560 0 10 7 327 0 0
19560 1 -31 -5 19 0 0
19660 0 10 7 79 0 0
19660 1 -31 -4 29 0 0
19760 0 10 7 79 0 0
19760 1 -30 -4 35 0 0
19859 0 11 7 79 0 0
19859 1 -30 -3 36 0 0
19960 0 11 7 79 0 0
19960 1 -29 -3 36 0 0
20060 0 11 8 79 0 0
20060 1 -29 -2 36 0 0
20160 0 12 8 79 0 0
20160 1 -29 -2 36 0 0
20260 0 12 8 79 0 0
20260 1 -28 -1 36 0 0
20359 0 12 8 79 0 0
20359 1 -28 0 36 0 0
20460 0 13 8 79 0 0
20460 1 -27 0 36 0 0
20560 0 13 8 79 0 0
20560 1 -27 0 35 0 0
20660 0 13 8 124 0 0
20660 1 -27 0 30 0 0
20760 0 13 8 345 0 0
20760 1 -26 1 21 0 0
20859 0 13 8 345 0 0
20859 1 -26 2 14 0 0
20960 0 13 9 345 0 0
20960 1 -26 2 12 0 0
21060 0 13 9 345 0 0
21060 1 -26 3 12 0 0
21160 0 13 9 345 0 0
21160 1 -26 4 12 0 0
21260 0 13 10 345 0 0
21260 1 -25 4 12 0 0
21359 0 13 10 345 0 0
21359 1 -25 5 12 0 0
21460 0 12 10 345 0 0
21460 1 -25 6 12 0 0
21560 0 12 11 345 0 0
21560 1 -25 6 11 0 0
21660 0 12 11 345 0 0
21660 1 -25 7 7 0 0
21760 0 12 11 345 0 0
21760 1 -25 8 359 0 0
21859 0 12 11 265 0 0
21859 1 -25 8 348 0 0
21960 0 12 11 265 0 0
21960 1 -25 9 342 0 0
22060 0 11 11 265 0 0
22060 1 -25 10 340 0 0
22160 0 11 11 265 0 0
22160 1 -26 10 340 0 0
22260 0 10 11 265 0 0
22260 1 -26 11 340 0 0
22359 0 10 11 265 0 0
22359 1 -26 12 340 0 0
22460 0 10 11 265 0 0
22460 1 -26 12 340 0 2
22560 0 9 11 265 0 0
22560 1 -26 13 340 0 2
22660 0 9 11 265 0 0
22660 1 -27 14 340 0 2
22760 0 9 11 265 0 0
22760 1 -27 14 340 0 2
22859 0 8 11 265 0 0
22859 1 -27 15 340 0 2
22960 0 8 11 265 0 0
22960 1 -27 16 340 0 2
23060 0 8 11 265 0 0
23060 1 -28 16 340 0 2
23160 0 8 11 51 0 0
23160 1 -28 17 340 0 2
23260 0 8 11 264 0 0
23260 1 -28 18 340 0 2
23359 0 7 11 264 0 0
23359 1 -28 18 340 0 2
23460 0 7 11 264 0 0
23460 1 -29 19 340 0 2
23560 0 7 11 328 0 0
23560 1 -29 20 340 0 5
23660 0 7 11 328 0 0
23660 1 -29 20 341 0 5
23760 0 6 12 328 0 0
23760 1 -29 21 348 0 5
23859 0 6 12 328 0 0
23859 1 -29 22 359 0 5
23960 0 6 12 328 0 0
23960 1 -29 22 13 0 5
24060 0 6 13 328 0 0
24060 1 -29 23 28 0 5
24160 0 6 13 328 0 0
24160 1 -29 24 40 0 5
24260 0 6 13 328 0 0
24260 1 -28 24 55 0 5
24359 0 5 14 328 0 0
24359 1 -28 24 70 0 5
24460 0 5 14 328 0 0
24460 1 -27 25 85 0 5
24560 0 5 14 328 0 0
24560 1 -26 24 98 0 7
24660 0 5 14 328 0 0
24660 1 -25 24 107 0 7
24760 0 5 15 328 0 0
24760 1 -25 24 111 0 7
24859 0 4 15 328 0 0
24859 1 -24 24 111 0 7
24960 0 4 15 328 0 0
24960 1 -24 24 111 0 7
25060 0 4 15 97 0 0
25060 1 -23 23 111 0 7
25160 0 5 15 175 0 0
25160 1 -22 23 113 0 7
25260 0 5 15 292 0 0
25260 1 -22 23 118 0 7
25359 0 4 15 292 0 0
25359 1 -21 22 128 0 7
25460 0 4 15 292 0 0
25460 1 -21 22 140 0 7
25560 0 4 15 292 0 0
25560 1 -20 21 148 0 18
25660 0 3 16 292 0 0
25660 1 -20 21 152 0 18
25760 0 3 16 292 0 0
25760 1 -19 20 152 0 18
25859 0 3 16 292 0 0
25859 1 -19 19 152 0 18
25960 0 2 16 292 0 0
25960 1 -19 19 152 0 18
26060 0 2 16 292 0 0
26060 1 -18 18 152 0 18
26160 0 2 16 292 0 0
26160 1 -18 18 152 0 18
26260 0 1 16 292 0 0
26260 1 -18 17 152 0 18
26359 0 1 17 292 0 0
26359 1 -17 16 152 0 18
26460 0 1 17 292 0 0
26460 1 -17 16 152 0 18
26560 0 0 17 292 0 0
26560 1 -17 15 152 0 32
26660 0 0 17 292 0 0
26660 1 -17 15 152 0 32
26760 0 0 17 292 0 0
26760 1 -16 14 152 0 32
26859 0 0 17 292 0 0
26859 1 -16 13 152 0 32
26960 0 0 17 292 0 0
26960 1 -16 13 152 0 32
27060 0 0 17 292 0 0
27060 1 -15 12 152 0 32
27160 0 -1 18 292 0 0
27160 1 -15 11 152 0 32
27260 0 -1 18 292 0 0
27260 1 -15 11 152 0 32
27359 0 -1 18 292 0 0
27359 1 -14 10 152 0 32
27460 0 -2 18 292 0 0
27460 1 -14 10 152 0 32
27560 0 -2 18 292 0 0
27560 1 -14 9 152 0 55
27660 0 -2 18 292 0 0
27660 1 -13 8 152 0 55
27760 0 -3 18 292 0 0
27760 1 -13 8 152 0 55
27859 0 -3 19 292 0 0
27859 1 -13 7 153 0 55
27960 0 -3 19 292 0 0
27960 1 -12 6 159 0 55
28060 0 -4 19 292 0 0
28060 1 -12 6 169 0 55
28160 0 -4 19 292 0 0
28160 1 -12 5 182 0 55
28260 0 -4 19 292 0 0
28260 1 -12 4 191 0 55
28359 0 -4 19 292 0 0
28359 1 -12 4 196 0 55
28460 0 -5 19 292 0 0
28460 1 -12 3 197 0 55
28560 0 -5 20 292 0 0
28560 1 -13 2 197 0 79
28660 0 -5 20 292 0 0
28660 1 -13 2 193 0 79
28760 0 -6 20 292 0 0
28760 1 -13 1 186 0 79
28859 0 -6 20 292 0 0
28859 1 -13 0 173 0 79
28960 0 -6 20 292 0 0
28960 1 -13 0 158 0 79
29060 0 -7 20 292 0 0
29060 1 -13 0 143 0 79
29160 0 -7 20 292 0 0
29160 1 -12 0 128 0 79
29260 0 -7 20 292 0 0
29260 1 -12 -1 115 0 79
29359 0 -8 21 292 0 0
29359 1 -11 -1 107 0 79
29460 0 -8 21 292 0 0
29460 1 -10 -1 102 0 79
29560 0 -8 21 292 0 0
29560 1 -10 -1 102 0 94
29660 0 -9 21 292 0 0
29660 1 -9 -2 97 0 94
29760 0 -9 21 292 0 0
29760 1 -8 -2 89 0 94
29859 0 -9 21 292 0 0
29859 1 -7 -2 76 0 94
29960 0 -10 21 292 0 0
29960 1 -7 -1 61 0 94
30060 0 -10 22 292 0 0
30060 1 -6 -1 46 0 94
30160 0 -10 22 292 0 0
30160 1 -6 0 36 0 94
30260 0 -11 22 292 0 0
30260 1 -5 0 31 0 94
30359 0 -11 22 292 0 0
30359 1 -5 0 27 0 94
30460 0 -11 22 292 0 0
30460 1 -5 0 19 0 94
30560 0 -12 22 292 0 0
30560 1 -5 1 7 0 111
30660 0 -12 22 292 0 0
30660 1 -5 2 353 0 111
30760 0 -12 23 292 0 0
30760 1 -5 2 345 0 111
30859 0 -13 23 292 0 0
30859 1 -5 3 341 0 111
30960 0 -12 23 84 0 0
30960 1 -5 4 341 0 111
31060 0 -12 23 84 0 0
31060 1 -5 4 341 0 111
31160 0 -11 23 84 0 0
31160 1 -6 5 341 0 111
31260 0 -11 23 84 0 0
31260 1 -6 6 341 0 111
31359 0 -11 23 84 0 0
31359 1 -6 6 341 0 111
31460 0 -11 23 349 0 0
31460 1 -6 7 341 0 111
31560 0 -11 23 349 0 0
31560 1 -6 8 341 0 131
31660 0 -11 24 349 0 0
31660 1 -7 8 341 0 131
31760 0 -11 24 349 0 0
31760 1 -7 9 341 0 131
31859 0 -11 24 349 0 0
31859 1 -7 10 339 0 131
31960 0 -11 25 349 0 0
31960 1 -7 10 334 0 131
32059 0 -11 25 349 0 0
32059 1 -8 11 324 0 131
32160 0 -11 25 349 0 0
32160 1 -8 12 316 0 131
32259 0 -11 26 349 0 0
32259 1 -9 12 313 0 131
32360 0 -11 26 349 0 0
32360 1 -9 13 312 0 131
32460 0 -11 26 349 0 0
32460 1 -10 13 312 0 131
32559 0 -11 27 349 0 0
32559 1 -10 13 312 0 157
32660 0 -11 27 349 0 0
32660 1 -11 14 312 0 157
32759 0 -12 27 349 0 0
32759 1 -11 14 312 0 157
32860 0 -12 28 349 0 0
32860 1 -12 15 312 0 157
32960 0 -12 28 349 0 0
32960 1 -12 15 312 0 157
33059 0 -12 28 349 0 0
33059 1 -13 16 312 0 157
33160 0 -12 29 349 0 0
33160 1 -13 16 312 0 157
33260 0 -12 29 349 0 0
33260 1 -14 17 312 0 157
33360 0 -12 29 349 0 0
33360 1 -14 17 312 0 157
33460 0 -12 30 293 0 0
33460 1 -15 18 308 0 157
33559 0 -12 30 293 0 0
33559 1 -15 18 299 0 178
33660 0 -13 30 293 0 0
33660 1 -16 18 286 0 178
33760 0 -13 30 293 0 0
33760 1 -17 19 275 0 178
33860 0 -13 30 293 0 0
33860 1 -17 19 269 0 178
33960 0 -14 30 293 0 0
33960 1 -18 19 267 0 178
34059 0 -14 30 266 0 0
34059 1 -19 19 267 0 178
34160 0 -14 31 42 0 0
34160 1 -20 19 267 0 178
34260 0 -14 31 143 0 0
34260 1 -20 18 267 0 178
34360 0 -13 30 151 0 0
34360 1 -21 18 267 0 178
34460 0 -13 30 151 0 0
34460 1 -22 18 267 0 178
34559 0 -13 30 151 0 0
34559 1 -22 18 267 0 205
34660 0 -13 29 151 0 0
34660 1 -23 18 270 0 205
34760 0 -13 29 151 0 0
34760 1 -24 18 278 0 205
34860 0 -13 29 151 0 0
34860 1 -24 19 291 0 205
34960 0 -12 29 151 0 0
34960 1 -25 19 305 0 205
35059 0 -12 28 151 0 0
35059 1 -26 19 319 0 205
35160 0 -12 28 255 0 0
35160 1 -26 20 327 0 205
35260 0 -13 28 255 0 0
35260 1 -26 21 331 0 205
35360 0 -13 28 255 0 0
35360 1 -27 21 332 0 205
35460 0 -13 28 255 0 0
35460 1 -27 22 332 0 205
35559 0 -14 28 255 0 0
35559 1 -27 22 332 0 230
35660 0 -14 28 255 0 0
35660 1 -28 23 332 0 230
35760 0 -14 27 255 0 0
35760 1 -28 24 332 0 230
35860 0 -15 27 255 0 0
35860 1 -28 24 332 0 230
35960 0 -15 27 255 0 0
35960 1 -29 25 332 0 230
36059 0 -15 27 255 0 0
36059 1 -29 25 332 0 230
36160 0 -16 27 255 0 0
36160 1 -29 26 332 0 230
36260 0 -16 27 255 0 0
36260 1 -30 27 332 0 230
36360 0 -16 27 255 0 0
36360 1 -30 27 332 0 230
36460 0 -17 27 255 0 0
36460 1 -30 28 333 0 230
36559 0 -17 27 255 0 0
36559 1 -30 29 339 0 251
36660 0 -17 27 255 0 0
36660 1 -31 29 349 0 251
36760 0 -18 27 255 0 0
36760 1 -31 30 2 0 251
36860 0 -18 26 255 0 0
36860 1 -31 31 11 0 251
36960 0 -18 26 255 0 0
36960 1 -31 31 16 0 251
37059 0 -19 26 255 0 0
37059 1 -30 32 17 0 251
37160 0 -19 26 255 0 0
37160 1 -30 33 17 0 251
37260 0 -19 26 255 0 0
37260 1 -30 33 17 0 251
37360 0 -20 26 255 0 0
37360 1 -30 34 17 0 251
37460 0 -20 26 255 0 0
37460 1 -29 35 17 0 251
37559 0 -20 26 255 0 0
37559 1 -29 35 17 0 278
37660 0 -21 26 255 0 0
37660 1 -29 36 17 0 278
37760 0 -21 26 255 0 0
37760 1 -29 37 17 0 278
37860 0 -21 26 255 0 0
37860 1 -29 37 17 0 278
37960 0 -22 25 255 0 0
37960 1 -28 38 21 0 278
38059 0 -22 25 255 0 0
38059 1 -28 39 28 0 278
38160 0 -22 25 122 0 0
38160 1 -28 39 30 0 278
38260 0 -22 25 122 0 0
38260 1 -27 40 26 0 278
38360 0 -21 25 122 0 0
38360 1 -27 41 17 0 278
38460 0 -21 25 122 0 0
38460 1 -27 41 4 0 278
38559 0 -21 24 122 0 0
38559 1 -27 42 349 0 303
38660 0 -21 24 122 0 0
38660 1 -27 43 334 0 303
38760 0 -20 24 122 0 0
38760 1 -28 43 319 0 303
38860 0 -20 24 140 0 0
38860 1 -28 44 304 0 303
38960 0 -20 24 140 0 0
38960 1 -29 44 289 0 303
39059 0 -20 24 140 0 0
39059 1 -29 44 274 0 303
39160 0 -19 23 140 0 0
39160 1 -30 44 260 0 303
39260 0 -19 23 140 0 0
39260 1 -30 44 250 0 303
39360 0 -19 23 140 0 0
39360 1 -31 44 244 0 303
39460 0 -19 22 140 0 0
39460 1 -32 43 243 0 303
39559 0 -19 22 140 0 0
39559 1 -32 43 243 0 317
39660 0 -18 22 140 0 0
39660 1 -33 43 240 0 317
39760 0 -19 22 316 0 0
39760 1 -33 42 233 0 317
39860 0 -19 22 316 0 0
39860 1 -34 42 221 0 317
39960 0 -19 23 316 0 0
39960 1 -34 41 207 0 317
40059 0 -19 23 295 0 0
40059 1 -35 41 191 0 317
40160 0 -20 23 295 0 0
40160 1 -35 40 176 0 317
40260 0 -20 23 295 0 0
40260 1 -35 39 162 0 317
40360 0 -20 23 295 0 0
40360 1 -34 39 147 0 317
40460 0 -20 23 295 0 0
40460 1 -34 38 132 0 317
40559 0 -21 24 295 0 0
40559 1 -33 38 121 0 334
40660 0 -21 24 295 0 0
40660 1 -33 37 115 0 334
40760 0 -21 24 295 0 0
40760 1 -32 37 113 0 334
40860 0 -22 24 295 0 0
40860 1 -31 37 113 0 334
40960 0 -22 24 295 0 0
