Time_ms id positions_x positions_z rotation_y is_signaling score
126119 1 72 -93 0 0 0
126119 2 120 35 87 0 0
126219 0 5 -14 55 0 0
126219 1 72 -93 0 0 0
126219 2 120 35 103 0 0
126319 0 5 -14 55 0 0
126319 1 72 -93 0 0 0
126319 2 120 35 114 0 0
126419 0 5 -14 55 0 0
126419 1 72 -93 0 0 0
126419 2 120 35 114 0 0
126519 0 5 -14 55 0 0
126519 1 72 -93 0 0 0
126519 2 120 35 114 0 0
126619 0 6 -13 55 0 0
126619 1 72 -93 0 0 0
126619 2 120 35 157 0 0
126719 0 6 -13 55 0 0
126719 1 72 -93 0 0 0
126719 2 120 35 180 0 0
126819 0 6 -13 55 0 0
126819 1 72 -93 0 0 0
126819 2 120 35 193 0 0
126919 0 7 -13 55 0 0
126919 1 72 -93 0 0 0
126919 2 120 35 207 0 0
127019 0 7 -13 55 0 0
127019 1 72 -93 0 0 0
127019 2 120 35 223 0 0
127119 0 7 -12 55 0 0
127119 1 72 -93 0 0 0
127119 2 120 35 238 0 0
127219 0 7 -12 55 0 0
127219 1 72 -93 0 0 0
127219 2 120 35 254 0 0
127319 0 8 -12 55 0 0
127319 1 72 -93 0 0 0
127319 2 120 35 269 0 0
127419 0 8 -12 55 0 0
127419 1 72 -93 0 0 0
127419 2 120 35 274 0 0
127519 0 8 -12 320 0 0
127519 1 72 -93 0 0 0
127519 2 120 35 298 0 0
127619 0 8 -11 314 0 0
127619 1 72 -93 0 0 0
127619 2 119 35 308 0 0
127719 0 7 -11 314 0 0
127719 1 72 -93 0 0 0
127719 2 119 35 314 0 0
127819 0 7 -11 314 0 0
127819 1 72 -93 0 0 0
127819 2 118 36 315 0 0
127919 0 7 -11 314 0 0
127919 1 72 -93 0 0 0
127919 2 118 36 315 0 0
128020 0 7 -10 314 0 0
128020 1 72 -93 0 0 0
128020 2 118 37 315 0 0
128119 0 6 -10 314 0 0
128119 1 72 -93 0 0 0
128119 2 117 37 315 0 0
128220 0 6 -10 314 0 0
128220 1 72 -93 0 0 0
128220 2 117 38 315 0 0
128319 0 6 -10 314 0 0
128319 1 72 -93 0 0 0
128319 2 116 38 315 0 0
128419 0 6 -9 314 0 0
128419 1 72 -93 0 0 0
128419 2 116 39 315 0 0
128520 0 5 -9 314 0 0
128520 1 72 -93 0 0 0
128520 2 115 39 315 0 0
128619 0 5 -9 314 0 0
128619 1 72 -93 359 0 0
128619 2 115 40 315 0 0
128720 0 5 -9 314 0 0
128720 1 72 -92 356 0 0
128720 2 114 40 315 0 0
128819 0 5 -8 314 0 0
128819 1 72 -91 348 0 0
128819 2 114 41 315 0 0
128919 0 4 -8 314 0 0
128919 1 72 -91 336 0 0
128919 2 113 41 315 0 0
129020 0 4 -8 314 0 0
129020 1 71 -90 328 0 0
129020 2 113 42 315 0 0
129119 0 4 -8 314 0 0
129119 1 71 -89 323 0 0
129119 2 112 42 315 0 0
129220 0 4 -7 314 0 0
129220 1 70 -89 323 0 0
129220 2 112 43 315 0 0
129319 0 3 -7 314 0 0
129319 1 70 -88 323 0 0
129319 2 111 43 315 0 0
129419 0 3 -7 314 0 0
129419 1 70 -88 323 0 0
129419 2 111 44 315 0 0
129520 0 3 -7 314 0 0
129520 1 69 -87 324 0 0
129520 2 110 44 315 0 0
129619 0 3 -7 314 0 0
129619 1 69 -87 330 0 0
129619 2 110 45 315 0 0
129720 0 2 -6 314 0 0
129720 1 68 -86 340 0 0
129720 2 109 45 317 0 0
129819 0 2 -6 314 0 0
129819 1 68 -85 354 0 0
129819 2 109 46 322 0 0
129919 0 2 -6 314 0 0
129919 1 68 -85 7 0 0
129919 2 108 46 333 0 0
130020 0 2 -6 314 0 0
130020 1 68 -84 16 0 0
130020 2 108 46 346 0 0
130119 0 1 -5 314 0 0
130119 1 69 -83 20 0 0
130119 2 108 46 3 0 0
130220 0 1 -5 314 0 0
130220 1 69 -83 21 0 0
130220 2 108 46 17 0 0
130319 0 1 -5 314 0 0
130319 1 69 -82 21 0 0
130319 2 108 46 32 0 0
130419 0 1 -5 314 0 0
130419 1 69 -81 21 0 0
130419 2 108 46 49 0 0
130520 0 0 -4 314 0 0
130520 1 70 -81 21 0 0
130520 2 108 46 57 0 0
130619 0 0 -4 314 0 0
130619 1 70 -80 21 0 0
130619 2 108 46 79 0 0
130720 0 0 -4 314 0 0
130720 1 70 -79 20 0 0
130720 2 108 46 92 0 0
130819 0 0 -4 314 0 0
130819 1 70 -79 18 0 0
130819 2 108 46 107 0 0
130919 0 0 -3 314 0 0
130919 1 71 -78 15 0 0
130919 2 109 46 105 0 0
131020 0 0 -3 314 0 0
131020 1 71 -77 14 0 0
131020 2 109 46 98 0 0
131119 0 0 -3 314 0 0
131119 1 71 -77 14 0 0
131119 2 109 46 96 0 0
131220 0 0 -3 314 0 0
131220 1 71 -76 14 0 0
131220 2 109 46 72 0 0
131319 0 -1 -2 314 0 0
